NoPekerja
1474
1516
1531
1575
1578
1593
1645
1709
1736
1738
1840
1850
1919
1936
1941
1981
1996
2017
2040
2091
2094
2117
2129
2145
2184
2195
2271
2304
2336
2347
2360
2368
2374
2378
2402
2410
2434
2485
2738
2825
2953
2964
3006
3015
3028
3041
3042
3071
3100
3189
3191
3205
3226
3242
3256
3266
3281
3319
3332
3360
3366
3418
3430
3472
3482
3523
3527
3549
3564
3569
3581
3582
3604
3617
3631
3644
3649
3655
3664
3743
3881
3882
3884
3885
3887
3888
3893
3897
3924
3934
3966
4013
4042
4043
4055
4067
4080
4090
4107
4131
4133
4137
4197
4202
4203
4235
4236
4242
4243
4255
4286
4290
4350
4355
4390
4407
4410
4412
4444
4445
4465
4505
4510
4512
4531
4555
4567
4570
4626
4651
4663
4685
4689
4716
4729
4734
4781
4782
4792
4847
4876
4920
4924
4927
4949
5001
5005
5007
5031
5050
5052
5082
5101
5143
5158
5169
5225
5236
5274
5297
5301
5306
5343
5348
5354
5364
5375
5382
5391
5392
5416
5430
5441
5442
5446
5449
5450
5451
5471
5472
5475
5487
5493
5503
5507
5509
5514
5515
5520
5524
5528
5535
5538
5539
5543
5554
5559
5562
5570
5574
5588
5591
5593
5594
5595
5599
5600
5605
5617
5618
5619
5623
5626
5635
5638
5641
5660
5661
5663
5668
5675
5683
5689
5715
5716
5731
5737
5750
5756
5758
5764
5768
5774
5787
5798
5809
5810
5833
5834
5839
5843
5844
5846
5850
5851
5858
5862
5864
5865
5866
5877
5887
5894
5912
5914
5935
5937
5942
5945
5950
5962
5965
5969
5970
5973
5986
5993
5995
6006
6009
6012
6013
6015
6016
6018
6021
6022
6025
6031
6034
6035
6039
6040
6041
6042
6052
6056
6061
6063
6073
6114
6118
6119
6121
6123
6136
6137
6138
6139
6141
6142
6144
6145
6148
6152
6158
6159
6160
6164
6165
6180
6182
6189
6190
6193
6213
6214
6224
6231
6232
6241
6245
6246
6247
6251
6252
6258
6267
6280
6284
6287
6290
6298
6307
6309
6310
6315
6317
6319
6328
6330
6333
6337
6345
6348
6349
6352
6367
6370
6374
6378
6379
6381
6386
6392
6393
6401
6403
6411
6417
6418
6420
6421
6424
6431
6444
6462
6468
6480
6481
6482
6483
6484
6497
6498
6500
6503
6508
6515
6526
6533
6535
6550
6559
6563
6573
6578
6581
6589
6612
6614
6617
6621
6627
6637
6638
6640
6644
6645
6646
6652
6660
6662
6664
6665
6668
6672
6679
6682
6694
6703
6706
6707
6708
6710
6714
6719
6732
6734
6735
6736
6737
6738
6740
6743
6755
6756
6759
6760
6763
6767
6772
6773
6778
6780
6797
6804
6808
6810
6811
6812
6813
6826
6839
6852
6856
6862
6863
6864
6872
6882
6895
6897
6899
6900
6904
6905
6910
6917
6925
6944
6945
6952
6955
6957
6958
6959
6964
6965
6971
6973
6974
6980
6982
6989
6991
7146
7315
7363
7368
7369
7377
8024
8077
8098
8108
8397
8637
8650
8655
8663
8665
8675
8682
8688
8694
8729
8734
8742
8788
8790
8803
8810
8811
8894
8919
9005
9011
9017
9018
9035
10004
10008
10009
10014
10027
10036
10037
10038
10039
10040
10041
10046
10049
10050
10052
10053
10056
10058
10060
10064
10072
10074
10079
10080
10082
10084
10086
10087
10093
10095
10097
10098
10100
10101
10107
10112
10113
10114
10120
10121
10124
10125
10126
10130
10135
10137
10138
10151
10152
10156
10163
10164
10169
10175
10179
10182
10186
10187
10188
10194
10195
10196
10202
10203
10204
10206
10207
10208
10210
10218
10219
10220
10221
10238
10241
10248
10251
10254
10255
10257
10259
10261
10266
10267
10268
10272
10279
10283
10292
10296
10304
10305
10306
10308
10311
10314
10319
10324
10326
10327
10328
10329
10332
10335
10339
10344
10349
10351
10353
10354
10356
10361
10369
10373
10378
10379
10380
10387
10391
10393
10396
10400
10401
10403
10406
10409
10414
10420
10421
10423
10427
10431
10436
10437
10438
10440
10441
10444
10445
10456
10460
10463
10466
10473
10477
10480
10481
10485
10491
10493
10498
10502
10503
10504
10505
10506
10507
10510
10519
10526
10528
10537
10543
10547
10550
10551
10552
10554
10556
10557
10560
10561
10562
10563
10567
10568
10573
10574
10581
10583
10584
10585
10586
10588
10590
10600
10601
10608
10611
10613
10614
10624
10634
10640
10646
10648
10653
10656
10660
10662
10674
10676
10677
10680
10681
10684
10690
10691
10692
10694
10696
10699
10710
10712
10713
10714
10719
10722
10723
10727
10728
10736
10743
10744
10745
10746
10756
10760
10787
10790
10800
10806
10815
10817
10819
10828
10829
10833
10841
10854
10864
10868
10870
10879
10884
10913
10918
10929
10934
10937
10958
10964
10982
10985
10986
11051
11073
11109
11210
11320
11338
11566
11719
11894
11923
12015
12130
12239
12250
12413
12455
12924
13239
16136
16912
17404
